Designator,Footprint,Quantity,Value,LCSC Part #
"12_V_PWR2, 3.3_V_PWR1, 5_V_PWR1, MIC_2, PI_PWR1",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,5,Conn_01x02_Pin,
"ACCELEROMETER1, LEDS1, PI_IN1",PinHeader_2x05_P2.54mm_Vertical,3,Conn_02x05_Odd_Even,
C1,1206,1,22u,C12891
"C10, C18, C19, C20, C8, C9",1206,6,100u,C15008
"C100, C103, C105, C107, C109, C114, C12, C13, C24, C26, C32, C37, C41, C43, C45, C47, C49, C56, C68, C70, C80, C90, C92, C97, C98, CBOOT1, CBOOT5",0402,27,100n,C1525
"C101, C11, C14, C2, C25, C30, C35, C50, C51, C52",0805,10,10u,C15850
"C102, C104, C106, C108, C110, C115, C23, C40, C42, C44, C46, C48, C55, C57, C64, C66, C67, C69, C71, C78, C79, C81, C88, C89, C91, C93, C99",0402,27,1u,C52923
"C111, C113, C94, C96, CSS1, CSS5",0805,6,2.2n,C28260
"C112, C95",0603,2,430p,
"C116, C58, C59, C60, C61, C62, C63, C118",0603,7,1.5n,C162204
C117,0805,1,220p,
"C15, C16, C17, C53, C54, C65, C72, C73, C74, C75, C76, C77",0805,12,15n,C97907
"C27, C33, C38",0603,3,3.3u,
"C28, C34, C39",0603,3,56p,
"C29, C31, C36",0603,3,2.2u,C23630
C3,1206,1,4.7u,C29823
C4,0603,1,470n,C1623
C5,0603,1,820p,
C6,1206,1,68n,
C7,0603,1,120p,
"C82, C83, C84, C85, C86, C87",0603,6,10n,C76599
"D1, D2, D3, D4, D5, D7, D8",D_MELF,7,RBR2LAM60A,
F1,Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,1,Fuse,C3029536
IC1,TSOT-23-6,1,LT6700HVCS6-3#PBF,C673571
"IC10, IC2",MSOP-8_3x3mm_P0.65mm,2,AD8226ARZ,C578656
IC11,VSSOP-10_3x3mm_P0.5mm,1,TMUX1204DGSR,C2840022
"IC3, IC5",Texas_S-PVQFN-N14_ThermalVias,2,TPS54620RHLR,C263274
IC4,SOT-23-5,1,AD8031ARTZ-R2,C207435
"IC6, IC7",MSOP-8_3x3mm_P0.65mm,2,MAX44246ASA+,C2682663
IC8,SOIC-14_3.9x8.7mm_P1.27mm,1,ADA4077-4ARZ,C514311
IC9,TSSOP-16_4.4x5mm_P0.65mm,1,SN74LV123ADRG4,C6036
J1,PinSocket_2x08_P2.54mm_Vertical_SMD,1,Conn_02x08_Odd_Even,C3975153
J2,PinSocket_2x10_P2.54mm_Vertical_SMD,1,Conn_02x10_Odd_Even,C3975155
J3,PinSocket_2x15_P2.54mm_Vertical_SMD,1,Conn_02x15_Odd_Even,C3975160
J4,PinSocket_2x17_P2.54mm_Vertical_SMD,1,Conn_02x17_Odd_Even,C3975162
J5,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,C114218
K2,Relay_DPDT_Kemet_EC2_NU_DoubleCoil,1,HFD3_12-L2_257_,
L1,L_Wuerth_HCF-2818,1,7443641000B,
L2,L_Wuerth_HCF-2818,1,22u,
L3,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555CMX_NOPB,C90760
LCD_BTNS1,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
MIC_1_LDR1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",SOT-23,7,Q_NPN_BCE,C6749
Q8,SOT-23,1,PNP,C8543
Q9,SO-8_3.9x4.9mm_P1.27mm,1,FDS6681Z,C236906
"R1, R105, R147, R148, R149, R17, R20, R28, R29, R3, R30, R34, R35, R36, R39, R4, R40, R41, R500, R55, R72, R80, R87, R88",0402,24,100k,C25741
"R10, R19",0603,2,3.9k,C23018
"R100, R135, R150, R71",0402,4,1M,C26083
"R101, R153, R157, R50, R81",0603,5,3k,C4211
R102,0603,1,91k,
"R103, R108, R123, R134, R140, R152, R169, R5, R73, R99",0402,10,200,C25087
"R104, R61, R90",0402,3,470,C25117
"R106, R151, R18, R89",0603,4,27k,C22967
R107,0603,1,6.34k,
R109,0603,1,255k,
R11,0603,1,330,C23138
"R110, R141",0603,2,68k,C23231
"R111, R74",0603,2,33k,C4216
"R112, R159",0603,2,82k,C23254
"R113, R129, R14, R167, R49, R65, R7",0603,7,12k,C22790
"R114, R164, R67, R86, R91",0603,5,2k,C22975
R115,0603,1,249,
"R116, R162, R47",0603,3,120k,C25808
R117,0603,1,300k,C23024
R118,0603,1,330k,C23137
"R119, R8",0402,2,47k,C25792
R12,0402,1,5.1k,C25905
"R120, R125, R126, R127, R138, R139, R142, R143, R173",0402,9,4.7k,C25900
"R121, R130",0603,2,270,C22966
R122,0603,1,80.6k,
R124,0603,1,4.32k,
R128,0603,1,732k,
"R13, R51",0603,2,150,C22808
"R131, R168, R21, R44, R45, R9, R96",0402,7,10k,C25744
"R132, R69, R85, R95, R97",0603,5,200k,C25811
"R133, R70, R98",0402,3,15k,C25756
"R136, R137, R93",0603,3,220k,C22961
"R144, R146",0402,2,120,C25079
"R145, R77",0603,2,220,C22962
"R15, R6",0603,2,150k,C22807
"R154, R160",0603,2,6.2k,C4260
"R155, R161, R57",0603,3,2.2k,C4190
"R156, R163, R94",0603,3,22k,C31850
R158,0603,1,18k,C25810
R16,0603,1,909,
R165,0603,1,300k,C23024
R166,0603,1,16k,
R170,0603,1,1.5k,C22843
R171,0603,1,9.1k,C23260
R174,0603,1,11k,
"R175, R79",0603,2,30k,C22984
"R176, R27, R32, R37, R84, R92",0603,6,2.4k,C22940
R2,0603,1,11.5k,
R22,0603,1,4.99k,C23046
"R23, R25, R42",0603,3,20k,
"R24, R26, R43",0603,3,5k,
"R31, R33, R38, R58, R68",0603,5,100,C22775
R46,0402,1,1k,C11702
R48,0603,1,261k,
R52,0603,1,68.1k,
R53,0603,1,37.4k,
R54,0603,1,499,
"R56, R66, R82",0402,3,1.5k,C25867
R59,0603,1,56k,C23206
R60,0603,1,75k,C23242
R62,0603,1,191k,
R63,0603,1,41.7k,
R64,0603,1,562,
R75,0603,1,140k,
R76,0603,1,1.2k,C22765
R78,0603,1,316k,
R83,0603,1,560,
"RV1, RV2",Potentiometer_Bourns_3296Y_Vertical,2,5k,C780116
"RV10, RV11, RV3",Potentiometer_Bourns_3296W_Vertical,3,50k,C83686
"RV4, RV5, RV6, RV7, RV8",Potentiometer_Bourns_3296W_Vertical,5,200k,C58354
RV9,Potentiometer_Bourns_3296W_Vertical,1,25k,C55264
"TC_1_2, TC_3_4",PinHeader_2x07_P2.54mm_Vertical,2,Conn_02x07_Odd_Even,
"TP_1, TP_10, TP_2, TP_3, TP_4, TP_5, TP_6, TP_7, TP_8, TP_9",PinHeader_1x01_P2.54mm_Vertical,10,Conn_01x01_Pin,C492400
"U1, U3, U4, U6, U7, U8",SOIC-14_3.9x8.7mm_P1.27mm,6,Opamp_Quad,C514311
"U2, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TLV3201/2,C129325
