Designator,Mid X,Mid Y,Rotation,Layer
12_V_PWR2,60.975,-124.95,270.0,top
3.3_V_PWR1,109.7,-193.71,180.0,top
5_V_PWR1,129.85,-59.77,0.0,top
ACCELEROMETER1,196.315,-59.215,270.0,top
C1,73.575,-86.675,0.0,top
C10,106.625,-89.675,270.0,top
C100,149.77,-167.16,90.0,top
C101,91.4,-139.87,270.0,top
C102,77.92,-140.604448,180.0,top
C103,77.929448,-138.56,180.0,top
C104,139.765,-145.5475,90.0,top
C105,141.925,-145.5375,90.0,top
C106,218.69,-77.74,270.0,top
C107,221.33,-77.75,270.0,top
C108,194.582499,-113.3925,180.0,top
C109,194.582499,-115.3725,180.0,top
C11,117.525,-151.03,270.0,top
C110,190.582499,-108.3625,180.0,top
C111,190.027499,-116.5325,180.0,top
C112,210.722499,-112.5425,180.0,top
C113,208.972499,-120.3775,90.0,top
C114,194.91,-156.82,180.0,top
C115,190.7,-149.57,180.0,top
C116,190.11,-157.7,180.0,top
C117,210.93,-154.11,180.0,top
C118,209.26,-161.805,90.0,top
C12,120.3,-150.24,270.0,top
C13,105.2,-150.24,270.0,top
C14,107.975,-151.03,270.0,top
C15,203.61,-89.795907,270.0,top
C16,206.83,-86.885907,90.0,top
C17,186.45,-98.615907,90.0,top
C18,120.725,-186.375,270.0,top
C19,124.65,-186.375,270.0,top
C2,72.975,-90.275,0.0,top
C20,128.525,-186.375,270.0,top
C23,129.2025,-128.18,90.0,top
C24,130.9,-128.18,90.0,top
C25,142.57,-135.22,180.0,top
C26,133.72,-138.26,270.0,top
C27,128.65,-138.26,270.0,top
C28,134.92,-129.42625,180.0,top
C29,142.585,-132.32,180.0,top
C3,73.575,-93.9,0.0,top
C30,112.385,-133.1,0.0,top
C31,112.385,-130.29,0.0,top
C32,117.27375,-134.73625,270.0,top
C33,122.04375,-135.47625,270.0,top
C34,124.06375,-127.16625,0.0,top
C35,164.22,-57.7075,180.0,top
C36,164.22,-61.9575,180.0,top
C37,159.765,-56.43,90.0,top
C38,153.79,-57.17,90.0,top
C39,146.3375,-57.17,180.0,top
C4,86.25,-179.125,180.0,top
C40,140.8975,-61.0525,180.0,top
C41,140.8975,-62.9725,180.0,top
C42,109.1,-142.71,90.0,top
C43,111.0,-142.69,90.0,top
C44,85.84,-119.21,180.0,top
C45,85.81,-116.671471,180.0,top
C46,75.23,-101.6825,180.0,top
C47,75.2475,-99.3875,180.0,top
C48,126.21,-110.59,180.0,top
C49,126.21,-112.64,180.0,top
C5,89.425,-177.2,270.0,top
C50,119.5075,-113.88,180.0,top
C51,119.5075,-117.24,0.0,top
C52,117.06,-99.17,270.0,top
C53,182.58,-98.625907,90.0,top
C54,179.13,-78.620907,270.0,top
C55,140.5125,-88.87,180.0,top
C56,140.5125,-86.9,180.0,top
C57,135.375,-68.69,0.0,top
C58,135.58,-79.75,270.0,top
C59,132.69,-79.75,270.0,top
C6,78.3375,-72.475,180.0,top
C60,135.085,-96.34,0.0,top
C61,134.805,-99.17,0.0,top
C62,156.04,-93.94,90.0,top
C63,158.99,-98.19,90.0,top
C64,147.8,-78.645,270.0,top
C65,182.59,-85.925907,270.0,top
C66,194.91,-154.83,180.0,top
C67,152.195,-67.86,90.0,top
C68,150.205,-67.85,90.0,top
C69,188.6,-77.455907,180.0,top
C7,73.5,-72.7375,270.0,top
C70,188.57,-79.835907,180.0,top
C71,178.53,-69.393407,0.0,top
C72,182.52,-78.620907,270.0,top
C73,179.16,-85.925907,270.0,top
C74,179.05,-98.645907,90.0,top
C75,189.78,-98.615907,90.0,top
C76,200.19,-89.790907,270.0,top
C77,210.24,-86.875907,90.0,top
C78,208.43,-77.695907,180.0,top
C79,148.62125,-109.5025,180.0,top
C8,98.9,-89.675,270.0,top
C80,148.62125,-107.7925,180.0,top
C81,148.51125,-105.0525,90.0,top
C82,147.77625,-112.1625,0.0,top
C83,147.81625,-118.1225,0.0,top
C84,150.53125,-130.7925,90.0,top
C85,153.54125,-130.7925,90.0,top
C86,158.93625,-120.7975,90.0,top
C87,159.72125,-124.1475,0.0,top
C88,165.49625,-112.5725,0.0,top
C89,159.325,-152.5875,270.0,top
C9,102.75,-89.675,270.0,top
C90,156.93,-152.5875,270.0,top
C91,194.575,-134.81,180.0,top
C92,194.575,-136.77,180.0,top
C93,190.785,-129.68,180.0,top
C94,190.025,-138.17,180.0,top
C95,211.6525,-134.35,180.0,top
C96,209.305,-141.77,90.0,top
C97,138.9,-172.31,0.0,top
C98,150.765,-170.36,0.0,top
C99,148.12,-167.16,90.0,top
CBOOT1,86.82,-169.0,0.0,top
CBOOT5,75.75,-60.925,0.0,top
CSS1,88.6,-173.175,0.0,top
CSS5,76.325,-65.75,0.0,top
D1,156.0,-79.2,0.0,top
D2,206.51,-81.485907,180.0,top
D3,165.32125,-107.2125,90.0,top
D4,95.39,-148.42,90.0,top
D5,90.11,-148.44,90.0,top
D7,165.515,-172.165,90.0,top
D8,175.02,-187.86,0.0,top
F1,61.0,-104.27,90.0,top
IC1,79.36,-100.2125,0.0,top
IC10,143.53,-151.5325,0.0,top
IC11,222.185,-73.66,0.0,top
IC2,91.98,-116.8,90.0,top
IC3,71.575,-63.375,0.0,top
IC4,110.975,-146.2475,270.0,top
IC5,83.05,-170.6,0.0,top
IC6,127.665,-131.385,270.0,top
IC7,146.3375,-61.6425,90.0,top
IC8,131.905,-111.64,270.0,top
IC9,145.1075,-171.335,270.0,top
J1,286.2,-131.95,180.0,top
J2,242.79,-138.61,180.0,top
J3,286.2,-99.86,180.0,top
J4,242.79,-102.41,180.0,top
J5,264.64,-64.445,180.0,top
K2,175.07,-176.715,0.0,top
L1,96.125,-64.72,0.0,top
L2,110.35,-167.2,0.0,top
L3,82.610552,-143.829448,0.0,top
LCD_BTNS1,247.23,-193.4,270.0,top
LEDS1,145.81,-193.395,270.0,top
MIC_1_LDR1,192.17,-188.36,0.0,top
MIC_2,205.5,-188.36,0.0,top
PI_IN1,176.275,-59.225,90.0,top
PI_PWR1,119.57,-59.77,0.0,top
Q1,151.0325,-180.96,180.0,top
Q2,146.7325,-180.96,180.0,top
Q3,137.7075,-180.96,180.0,top
Q4,142.1825,-180.96,180.0,top
Q5,155.3825,-180.96,180.0,top
Q6,159.7825,-180.96,180.0,top
Q7,86.22,-127.2025,270.0,top
Q8,80.96,-127.2025,270.0,top
Q9,60.975,-84.28,180.0,top
R1,72.205,-97.025,0.0,top
R10,74.025,-68.9,0.0,top
R100,154.21,-74.42,90.0,top
R101,182.095,-92.015907,0.0,top
R102,195.58,-86.205907,0.0,top
R103,194.87,-96.555907,0.0,top
R104,203.6525,-96.585907,180.0,top
R105,146.10125,-105.0525,270.0,top
R106,144.52125,-108.9425,270.0,top
R107,144.52125,-113.0775,270.0,top
R108,144.52125,-116.8125,90.0,top
R109,147.77625,-115.1325,180.0,top
R11,77.275,-68.9,0.0,top
R110,152.645,-138.78,90.0,top
R111,150.53125,-122.2725,270.0,top
R112,190.255,-131.63,180.0,top
R113,150.53125,-126.6125,270.0,top
R114,147.20125,-126.6175,90.0,top
R115,147.21125,-122.42,90.0,top
R116,195.995,-142.73,0.0,top
R117,212.525,-141.895,90.0,top
R118,154.02625,-122.6875,0.0,top
R119,154.26625,-127.4575,0.0,top
R12,82.64,-79.075,180.0,top
R120,151.105,-177.385,180.0,top
R121,149.495,-185.81,90.0,top
R122,158.00125,-128.6425,90.0,top
R123,160.78125,-128.6825,90.0,top
R124,159.59125,-131.5625,0.0,top
R125,137.7075,-177.385,180.0,top
R126,146.705,-177.385,180.0,top
R127,142.18,-177.385,180.0,top
R128,161.98125,-116.45,270.0,top
R129,161.99125,-120.7975,270.0,top
R13,81.165,-86.81,0.0,top
R130,146.32,-185.81,90.0,top
R131,137.7075,-183.385,180.0,top
R132,165.84125,-115.1725,0.0,top
R133,165.01125,-118.3525,270.0,top
R134,165.01125,-122.7625,270.0,top
R135,160.815,-143.5575,90.0,top
R136,135.135,-172.31,0.0,top
R137,154.37,-170.36,0.0,top
R138,159.7825,-177.36,180.0,top
R139,155.485,-177.385,180.0,top
R14,85.575,-165.125,90.0,top
R140,82.07,-137.8,0.0,top
R141,86.215,-136.37,0.0,top
R142,84.425552,-131.96,90.0,top
R143,81.19,-131.96,90.0,top
R144,87.17,-131.96,90.0,top
R145,151.995,-185.86,90.0,top
R146,83.735552,-149.554448,0.0,top
R147,137.31,-148.6475,270.0,top
R148,137.335,-152.4975,270.0,top
R149,173.5,-161.0,90.0,top
R15,82.75,-165.125,270.0,top
R150,153.915,-152.2575,270.0,top
R151,145.485,-144.3575,90.0,top
R152,60.9,-79.41,90.0,top
R153,204.24,-121.12,0.0,top
R154,190.25,-133.71,0.0,top
R155,190.26,-135.82,180.0,top
R156,200.26,-142.73,0.0,top
R157,204.51,-142.72,0.0,top
R158,212.525,-137.89,90.0,top
R159,189.997499,-110.1425,180.0,top
R16,86.2125,-176.225,0.0,top
R160,190.017499,-112.2325,0.0,top
R161,190.037499,-114.3425,180.0,top
R162,195.427499,-121.1225,0.0,top
R163,199.722499,-121.1225,0.0,top
R164,90.855,-136.37,0.0,top
R165,212.1,-120.42,90.0,top
R166,211.682499,-116.4675,90.0,top
R167,155.94,-138.8,90.0,top
R168,154.32625,-125.1875,180.0,top
R169,82.26,-135.51,0.0,top
R17,114.65,-147.25,270.0,top
R170,190.125,-151.41,180.0,top
R171,190.095,-153.51,0.0,top
R173,195.745,-162.58,0.0,top
R174,200.04,-162.58,0.0,top
R175,211.88,-162.06,90.0,top
R176,211.88,-157.91,90.0,top
R18,90.325,-182.475,180.0,top
R19,86.55,-182.475,180.0,top
R2,81.2875,-89.91,0.0,top
R20,114.65,-150.26,270.0,top
R21,82.915,-182.475,0.0,top
R22,107.315,-146.19,270.0,top
R23,119.5075,-107.85,0.0,top
R24,119.5075,-110.76,180.0,top
R25,119.5075,-123.25,0.0,top
R26,119.5075,-120.36,180.0,top
R27,138.515,-132.35,180.0,top
R28,134.23,-135.48,180.0,top
R29,131.3,-138.26,270.0,top
R3,75.63,-97.04,0.0,top
R30,134.92,-126.82625,180.0,top
R31,134.755,-132.34,180.0,top
R32,116.5,-130.29,0.0,top
R33,120.52,-130.29,0.0,top
R34,119.28875,-132.32,0.0,top
R35,119.53375,-134.75625,270.0,top
R36,124.06375,-124.42625,0.0,top
R37,159.59,-61.9575,180.0,top
R38,154.93,-61.9575,180.0,top
R39,157.905,-59.3175,180.0,top
R4,79.3,-104.39,270.0,top
R40,156.94,-56.45,90.0,top
R41,146.3375,-54.89,180.0,top
R42,108.32,-98.2,0.0,top
R43,112.98,-98.2,0.0,top
R44,137.55,-109.1,180.0,top
R45,137.54,-107.05,180.0,top
R46,135.34,-76.84,180.0,top
R47,134.805,-74.21,0.0,top
R48,135.57,-83.96,270.0,top
R49,134.805,-71.29,180.0,top
R5,80.015,-79.075,180.0,top
R50,132.69,-83.875,90.0,top
R500,78.34,-92.24,90.0,top
R51,132.005,-76.84,0.0,top
R52,134.635,-87.88,180.0,top
R53,146.94,-98.4625,90.0,top
R54,144.03,-98.4625,270.0,top
R55,141.38,-98.41,270.0,top
R56,135.355,-93.7,180.0,top
R57,134.805,-90.67,0.0,top
R58,131.805,-93.69,180.0,top
